period,LAD,SHEF_A,report_count,user_count,average
2015-5,E07000061,Abandoned Vehicles,1,1,1.0
2015-5,E07000061,Blocked Drains,2,2,1.0
2015-5,E07000061,Debris/Spillage,1,1,1.0
2015-5,E07000061,Dog Fouling,1,1,1.0
2015-5,E07000061,Fallen/Dangerous Trees,6,6,1.0
2015-5,E07000061,Fences,1,1,1.0
2015-5,E07000061,Fly-tipping,5,4,1.25
2015-5,E07000061,Grass/Weed Control,1,1,1.0
2015-5,E07000061,Highway Condition,4,3,1.3333333333333333
2015-5,E07000061,Manhole Covers,1,1,1.0
2015-5,E07000061,Open Spaces/Parks,1,1,1.0
2015-5,E07000061,Other,1,1,1.0
2015-5,E07000061,Parking,1,1,1.0
2015-5,E07000061,Pavement /Footway Defects,15,15,1.0
2015-5,E07000061,Potholes,36,22,1.6363636363636365
2015-5,E07000061,Right of Way,3,3,1.0
2015-5,E07000061,Road Markings,3,3,1.0
2015-5,E07000061,Road Surface Defects,8,6,1.3333333333333333
2015-5,E07000061,Street Cleaning,4,2,2.0
2015-5,E07000061,Street Lights,11,11,1.0
2015-5,E07000061,Street Signs,1,1,1.0
2015-5,E07000061,Utility Works,1,1,1.0
2015-5,E07000062,Blocked Drains,4,4,1.0
2015-5,E07000062,Fallen/Dangerous Trees,7,6,1.1666666666666667
2015-5,E07000062,Fly-tipping,3,3,1.0
2015-5,E07000062,Highway Condition,10,10,1.0
2015-5,E07000062,Manhole Covers,4,4,1.0
2015-5,E07000062,Open Spaces/Parks,2,2,1.0
2015-5,E07000062,Other,6,6,1.0
2015-5,E07000062,Parking,1,1,1.0
2015-5,E07000062,Pavement /Footway Defects,4,4,1.0
2015-5,E07000062,Potholes,25,20,1.25
2015-5,E07000062,Property Damage,1,1,1.0
2015-5,E07000062,Right of Way,7,7,1.0
2015-5,E07000062,Road Markings,1,1,1.0
2015-5,E07000062,Road Surface Defects,10,6,1.6666666666666667
2015-5,E07000062,Rubbish,2,2,1.0
2015-5,E07000062,Street Cleaning,1,1,1.0
2015-5,E07000062,Street Lights,5,5,1.0
2015-5,E07000062,Street Name Plates,1,1,1.0
2015-5,E07000062,Street Signs,1,1,1.0
2015-5,E07000062,Traffic Lights,1,1,1.0
2015-5,E07000063,Blocked Drains,7,7,1.0
2015-5,E07000063,Debris/Spillage,1,1,1.0
2015-5,E07000063,Fallen/Dangerous Trees,13,9,1.4444444444444444
2015-5,E07000063,Fences,3,3,1.0
2015-5,E07000063,Fly-tipping,7,6,1.1666666666666667
2015-5,E07000063,Grass/Weed Control,4,4,1.0
2015-5,E07000063,Highway Condition,8,5,1.6
2015-5,E07000063,Manhole Covers,1,1,1.0
2015-5,E07000063,Open Spaces/Parks,3,3,1.0
2015-5,E07000063,Other,2,1,2.0
2015-5,E07000063,Parking,2,2,1.0
2015-5,E07000063,Pavement /Footway Defects,16,15,1.0666666666666667
2015-5,E07000063,Potholes,32,27,1.1851851851851851
2015-5,E07000063,Right of Way,19,14,1.3571428571428572
2015-5,E07000063,Road Markings,3,3,1.0
2015-5,E07000063,Road Surface Defects,2,2,1.0
2015-5,E07000063,Rubbish,2,1,2.0
2015-5,E07000063,Spillage on Raod,1,1,1.0
2015-5,E07000063,Street Lights,13,12,1.0833333333333333
2015-5,E07000063,Street Name Plates,2,2,1.0
2015-5,E07000063,Street Signs,4,4,1.0
2015-5,E07000063,Traffic Lights,1,1,1.0
2015-5,E07000064,Abandoned Vehicles,1,1,1.0
2015-5,E07000064,Blocked Drains,7,7,1.0
2015-5,E07000064,Bridge/Culvert Defects,1,1,1.0
2015-5,E07000064,Fallen/Dangerous Trees,21,19,1.105263157894737
2015-5,E07000064,Fly-tipping,17,15,1.1333333333333333
2015-5,E07000064,Graffiti,2,2,1.0
2015-5,E07000064,Highway Condition,12,12,1.0
2015-5,E07000064,Manhole Covers,2,2,1.0
2015-5,E07000064,Other,8,8,1.0
2015-5,E07000064,Parking,2,2,1.0
2015-5,E07000064,Pavement /Footway Defects,18,17,1.0588235294117647
2015-5,E07000064,Potholes,57,42,1.3571428571428572
2015-5,E07000064,Public Toilets,1,1,1.0
2015-5,E07000064,Right of Way,21,17,1.2352941176470589
2015-5,E07000064,Road Markings,1,1,1.0
2015-5,E07000064,Road Surface Defects,10,10,1.0
2015-5,E07000064,Rubbish,2,2,1.0
2015-5,E07000064,Street Lights,6,6,1.0
2015-5,E07000064,Street Name Plates,5,4,1.25
2015-5,E07000064,Street Signs,6,6,1.0
2015-5,E07000064,Traffic Lights,2,2,1.0
2015-5,E07000065,Abandoned Vehicles,10,10,1.0
2015-5,E07000065,Blocked Drains,6,6,1.0
2015-5,E07000065,Debris/Spillage,1,1,1.0
2015-5,E07000065,Dog Fouling,1,1,1.0
2015-5,E07000065,Fallen/Dangerous Trees,29,28,1.0357142857142858
2015-5,E07000065,Fences,2,1,2.0
2015-5,E07000065,Fly-tipping,14,10,1.4
2015-5,E07000065,Grass/Weed Control,8,8,1.0
2015-5,E07000065,Highway Condition,21,20,1.05
2015-5,E07000065,Ice & Snow,1,1,1.0
2015-5,E07000065,Manhole Covers,5,3,1.6666666666666667
2015-5,E07000065,Other,8,8,1.0
2015-5,E07000065,Parking,1,1,1.0
2015-5,E07000065,Pavement /Footway Defects,24,23,1.0434782608695652
2015-5,E07000065,Potholes,83,60,1.3833333333333333
2015-5,E07000065,Property Damage,1,1,1.0
2015-5,E07000065,Right of Way,33,26,1.2692307692307692
2015-5,E07000065,Road Markings,5,5,1.0
2015-5,E07000065,Road Surface Defects,25,19,1.3157894736842106
2015-5,E07000065,Rubbish,2,2,1.0
2015-5,E07000065,Street Cleaning,1,1,1.0
2015-5,E07000065,Street Lights,22,18,1.2222222222222223
2015-5,E07000065,Street Name Plates,3,3,1.0
2015-5,E07000065,Street Signs,5,5,1.0
2015-5,E07000065,Traffic Lights,4,4,1.0
2015-5,E07000065,Utility Works,1,1,1.0
2015-5,E07000089,Abandoned Vehicles,9,8,1.125
2015-5,E07000089,Fly-tipping,12,12,1.0
2015-5,E07000089,Graffiti,1,1,1.0
2015-5,E07000089,Highway Condition,5,5,1.0
2015-5,E07000089,Other,6,6,1.0
2015-5,E07000089,Parking,3,3,1.0
2015-5,E07000089,Pavement /Footway Defects,11,10,1.1
2015-5,E07000089,Potholes,8,7,1.1428571428571428
2015-5,E07000089,Rubbish,4,4,1.0
2015-5,E07000089,Street Cleaning,2,2,1.0
2015-5,E07000089,Street Lights,4,4,1.0
2015-5,E07000089,Street Signs,3,3,1.0
2015-5,E07000089,Traffic Lights,1,1,1.0
2015-5,E07000165,Abandoned Vehicles,8,7,1.1428571428571428
2015-5,E07000165,Dead Animals,1,1,1.0
2015-5,E07000165,Dog Fouling,2,2,1.0
2015-5,E07000165,Fly-tipping,6,5,1.2
2015-5,E07000165,Rubbish,1,1,1.0
2015-5,E07000165,Street Cleaning,1,1,1.0
2015-5,E07000177,,3,3,1.0
2015-5,E07000177,Blocked Drains,6,6,1.0
2015-5,E07000177,Debris/Spillage,2,2,1.0
2015-5,E07000177,Fallen/Dangerous Trees,14,13,1.0769230769230769
2015-5,E07000177,Fences,1,1,1.0
2015-5,E07000177,Fly-tipping,2,2,1.0
2015-5,E07000177,General Highways Enquiries,2,2,1.0
2015-5,E07000177,Graffiti,1,1,1.0
2015-5,E07000177,Grass/Weed Control,32,25,1.28
2015-5,E07000177,Gullies,2,2,1.0
2015-5,E07000177,Highway Condition,13,10,1.3
2015-5,E07000177,Manhole Covers,1,1,1.0
2015-5,E07000177,Open Spaces/Parks,5,5,1.0
2015-5,E07000177,Other,7,7,1.0
2015-5,E07000177,Parking,5,5,1.0
2015-5,E07000177,Pavement /Footway Defects,8,5,1.6
2015-5,E07000177,Potholes,31,17,1.8235294117647058
2015-5,E07000177,Property Damage,2,2,1.0
2015-5,E07000177,Road Markings,3,2,1.5
2015-5,E07000177,Road Surface Defects,7,7,1.0
2015-5,E07000177,Spillage on Raod,1,1,1.0
2015-5,E07000177,Street Cleaning,1,1,1.0
2015-5,E07000177,Street Lights,5,5,1.0
2015-5,E07000177,Street Name Plates,1,1,1.0
2015-5,E07000177,Street Signs,6,6,1.0
2015-5,E07000177,Traffic Lights,2,2,1.0
2015-5,E07000177,Utility Works,2,1,2.0
2015-5,E07000178,,1,1,1.0
2015-5,E07000178,Blocked Drains,7,6,1.1666666666666667
2015-5,E07000178,Bus Stops Damage,1,1,1.0
2015-5,E07000178,Fallen/Dangerous Trees,5,5,1.0
2015-5,E07000178,Graffiti,1,1,1.0
2015-5,E07000178,Grass/Weed Control,7,7,1.0
2015-5,E07000178,Highway Condition,9,9,1.0
2015-5,E07000178,Manhole Covers,2,2,1.0
2015-5,E07000178,Parking,6,6,1.0
2015-5,E07000178,Pavement /Footway Defects,7,7,1.0
2015-5,E07000178,Potholes,16,14,1.1428571428571428
2015-5,E07000178,Property Damage,2,2,1.0
2015-5,E07000178,Road Markings,5,4,1.25
2015-5,E07000178,Road Surface Defects,4,4,1.0
2015-5,E07000178,Street Lights,1,1,1.0
2015-5,E07000178,Street Signs,5,5,1.0
2015-5,E07000179,,1,1,1.0
