lad,SHEF_A_CODE,reports,unique_users,average_per_user
E06000017,A1,4,4,1.0
E06000022,A1,293,217,1.3502304147465438
E07000089,A1,182,164,1.1097560975609757
E07000177,A1,17,17,1.0
E07000178,A1,21,21,1.0
E07000179,A1,18,17,1.0588235294117647
E07000180,A1,17,15,1.1333333333333333
E07000181,A1,15,15,1.0
E07000218,A1,1,1,1.0
E07000219,A1,2,2,1.0
E07000220,A1,1,1,1.0
E07000221,A1,1,1,1.0
E07000222,A1,4,4,1.0
E07000242,A1,52,45,1.1555555555555554
E07000243,A1,644,307,2.0977198697068404
E09000006,A1,1302,1116,1.1666666666666667
E09000011,A1,788,626,1.2587859424920127
E06000017,A11,1,1,1.0
E06000060,A11,138,134,1.0298507462686568
E07000136,A11,8,5,1.6
E07000137,A11,8,4,2.0
E07000138,A11,6,3,2.0
E07000139,A11,9,6,1.5
E07000140,A11,11,4,2.75
E07000141,A11,10,8,1.25
E07000142,A11,7,4,1.75
E06000022,A12,104,70,1.4857142857142858
E07000178,A12,35,14,2.5
E07000219,A12,4,3,1.3333333333333333
E07000222,A12,1,1,1.0
E07000243,A12,10,4,2.5
E09000006,A12,10,10,1.0
E06000017,A16,3,3,1.0
E06000022,A16,152,91,1.6703296703296704
E07000243,A16,65,25,2.6
E09000006,A16,416,401,1.0374064837905237
E09000011,A16,192,179,1.0726256983240223
E06000022,A17,78,59,1.3220338983050848
E07000243,A19,37,15,2.466666666666667
E06000022,A2,609,322,1.891304347826087
E06000022,A20,102,76,1.3421052631578947
E07000089,A20,8,8,1.0
E07000177,A20,3,3,1.0
E07000179,A20,9,8,1.125
E07000180,A20,3,3,1.0
E07000181,A20,7,5,1.4
E07000219,A20,3,3,1.0
E07000242,A20,8,7,1.1428571428571428
E07000243,A20,114,35,3.257142857142857
E09000011,A20,161,133,1.2105263157894737
S12000041,A20,1,1,1.0
E07000242,A21,1,1,1.0
E09000006,A22,2361,1484,1.5909703504043127
E09000023,A22,1,1,1.0
E06000022,A23,38,27,1.4074074074074074
E07000136,A23,1,1,1.0
E07000138,A23,1,1,1.0
E07000142,A23,1,1,1.0
E06000022,A24,43,26,1.6538461538461537
E06000060,A24,763,614,1.242671009771987
E07000136,A24,3,2,1.5
E07000137,A24,15,4,3.75
E07000138,A24,8,3,2.6666666666666665
E07000139,A24,12,6,2.0
E07000140,A24,4,4,1.0
E07000141,A24,18,6,3.0
E07000142,A24,16,5,3.2
E07000177,A24,277,203,1.3645320197044335
E07000178,A24,114,86,1.3255813953488371
E07000179,A24,280,199,1.407035175879397
E07000180,A24,246,174,1.4137931034482758
E07000181,A24,201,138,1.4565217391304348
E07000218,A24,4,4,1.0
E07000219,A24,20,20,1.0
E07000220,A24,19,19,1.0
E07000221,A24,31,30,1.0333333333333334
E07000222,A24,37,35,1.0571428571428572
E07000242,A24,6,6,1.0
E07000243,A24,28,24,1.1666666666666667
E09000011,A24,58,55,1.0545454545454545
E06000060,A26,248,219,1.1324200913242009
E07000136,A26,8,8,1.0
E07000137,A26,40,11,3.6363636363636362
