period,LAD,SHEF_A,report_count,user_count,average
2010-2,E08000035,Dog Fouling,1,1,1.0
2010-2,E08000035,Highway Condition,1,1,1.0
2010-2,E08000035,Potholes,1,1,1.0
2010-2,E09000003,Abandoned Vehicles,1,1,1.0
2010-2,E09000003,Dog Fouling,4,4,1.0
2010-2,E09000003,Fallen/Dangerous Trees,1,1,1.0
2010-2,E09000003,Fly-tipping,2,2,1.0
2010-2,E09000003,Highway Condition,11,11,1.0
2010-2,E09000003,Open Spaces/Parks,1,1,1.0
2010-2,E09000003,Other,16,16,1.0
2010-2,E09000003,Parking,4,4,1.0
2010-2,E09000003,Pavement /Footway Defects,31,29,1.0689655172413792
2010-2,E09000003,Potholes,186,140,1.3285714285714285
2010-2,E09000003,Rubbish,3,3,1.0
2010-2,E09000003,Street Cleaning,3,3,1.0
2010-2,E09000003,Street Lights,21,21,1.0
2010-2,E09000003,Street Name Plates,2,2,1.0
2010-2,E09000003,Street Signs,1,1,1.0
