lsoa,SHEF_C_CODE,reports,unique_users,average_per_user
E01001857,C1,1,1,1.0
E01003079,C1,1,1,1.0
E01014542,C1,1,1,1.0
E01019608,C1,1,1,1.0
E01025593,C1,1,1,1.0
E01026052,C1,1,1,1.0
E01031815,C1,1,1,1.0
E01033070,C1,2,2,1.0
S01008730,C1,1,1,1.0
E01000116,C2,1,1,1.0
E01000172,C2,1,1,1.0
E01000173,C2,1,1,1.0
E01000190,C2,1,1,1.0
E01000208,C2,1,1,1.0
E01000235,C2,1,1,1.0
E01000310,C2,2,1,2.0
E01000433,C2,1,1,1.0
E01000545,C2,1,1,1.0
E01000656,C2,1,1,1.0
E01000971,C2,1,1,1.0
E01001042,C2,1,1,1.0
E01001156,C2,1,1,1.0
E01001237,C2,1,1,1.0
E01001301,C2,1,1,1.0
E01001321,C2,2,1,2.0
E01001323,C2,1,1,1.0
E01001381,C2,1,1,1.0
E01001544,C2,1,1,1.0
E01001715,C2,1,1,1.0
E01001761,C2,1,1,1.0
E01002020,C2,1,1,1.0
E01002021,C2,1,1,1.0
E01002152,C2,1,1,1.0
E01002158,C2,1,1,1.0
E01002179,C2,1,1,1.0
E01002273,C2,1,1,1.0
E01002407,C2,1,1,1.0
E01002574,C2,1,1,1.0
E01002580,C2,1,1,1.0
E01002652,C2,1,1,1.0
E01002678,C2,2,1,2.0
E01002704,C2,1,1,1.0
E01002709,C2,1,1,1.0
E01002765,C2,2,1,2.0
E01002804,C2,1,1,1.0
E01003025,C2,1,1,1.0
E01003043,C2,1,1,1.0
E01003052,C2,1,1,1.0
E01003085,C2,1,1,1.0
E01003133,C2,1,1,1.0
E01003171,C2,1,1,1.0
E01003253,C2,1,1,1.0
E01003254,C2,1,1,1.0
E01003658,C2,1,1,1.0
E01003737,C2,1,1,1.0
E01003818,C2,2,2,1.0
E01004033,C2,1,1,1.0
E01004134,C2,1,1,1.0
E01004138,C2,1,1,1.0
E01004255,C2,1,1,1.0
E01004378,C2,1,1,1.0
E01004506,C2,4,1,4.0
E01004602,C2,1,1,1.0
E01004604,C2,1,1,1.0
E01004605,C2,1,1,1.0
E01004623,C2,1,1,1.0
E01004638,C2,1,1,1.0
E01004734,C2,1,1,1.0
E01004749,C2,1,1,1.0
E01005208,C2,1,1,1.0
E01005311,C2,1,1,1.0
E01005519,C2,1,1,1.0
E01005566,C2,1,1,1.0
E01005611,C2,1,1,1.0
E01005732,C2,1,1,1.0
E01005743,C2,1,1,1.0
E01005794,C2,1,1,1.0
E01005843,C2,1,1,1.0
E01005943,C2,1,1,1.0
E01006085,C2,1,1,1.0
E01006286,C2,1,1,1.0
E01006549,C2,1,1,1.0
E01006571,C2,1,1,1.0
E01006973,C2,1,1,1.0
E01007318,C2,2,1,2.0
E01007337,C2,1,1,1.0
E01007356,C2,1,1,1.0
E01007388,C2,1,1,1.0
E01007393,C2,1,1,1.0
E01007455,C2,1,1,1.0
E01007461,C2,1,1,1.0
E01007698,C2,3,1,3.0
E01007717,C2,1,1,1.0
E01007780,C2,1,1,1.0
E01007781,C2,1,1,1.0
E01007810,C2,1,1,1.0
E01007816,C2,4,1,4.0
E01007819,C2,2,1,2.0
E01007820,C2,1,1,1.0
E01007821,C2,7,2,3.5
E01007838,C2,1,1,1.0
E01007856,C2,2,2,1.0
