lad,SHEF_A_CODE,reports,unique_users,average_per_user
E06000001,A1,1,1,1.0
E06000002,A1,8,4,2.0
E06000003,A1,6,5,1.2
E06000004,A1,33,21,1.5714285714285714
E06000005,A1,2,2,1.0
E06000006,A1,22,18,1.2222222222222223
E06000007,A1,7,6,1.1666666666666667
E06000008,A1,23,22,1.0454545454545454
E06000009,A1,8,7,1.1428571428571428
E06000010,A1,21,16,1.3125
E06000011,A1,4,4,1.0
E06000012,A1,2,2,1.0
E06000013,A1,8,7,1.1428571428571428
E06000014,A1,6,6,1.0
E06000015,A1,14,12,1.1666666666666667
E06000016,A1,18,15,1.2
E06000017,A1,1,1,1.0
E06000018,A1,10,10,1.0
E06000019,A1,9,8,1.125
E06000020,A1,8,6,1.3333333333333333
E06000021,A1,26,24,1.0833333333333333
E06000022,A1,14,13,1.0769230769230769
E06000023,A1,113,91,1.2417582417582418
E06000024,A1,9,8,1.125
E06000025,A1,20,19,1.0526315789473684
E06000026,A1,23,21,1.0952380952380953
E06000027,A1,12,10,1.2
E06000030,A1,26,21,1.2380952380952381
E06000031,A1,38,29,1.3103448275862069
E06000032,A1,132,72,1.8333333333333333
E06000033,A1,24,19,1.263157894736842
E06000034,A1,24,19,1.263157894736842
E06000035,A1,24,23,1.0434782608695652
E06000036,A1,16,11,1.4545454545454546
E06000038,A1,36,30,1.2
E06000039,A1,15,12,1.25
E06000040,A1,23,20,1.15
E06000041,A1,25,24,1.0416666666666667
E06000042,A1,4,3,1.3333333333333333
E06000043,A1,32,28,1.1428571428571428
E06000044,A1,21,21,1.0
E06000046,A1,14,13,1.0769230769230769
E06000047,A1,14,14,1.0
E06000049,A1,14,12,1.1666666666666667
E06000050,A1,9,9,1.0
E06000051,A1,11,11,1.0
E06000052,A1,41,34,1.2058823529411764
E06000054,A1,4,3,1.3333333333333333
E06000055,A1,33,30,1.1
E06000056,A1,69,57,1.2105263157894737
E06000057,A1,13,11,1.1818181818181819
E06000058,A1,47,43,1.0930232558139534
E06000059,A1,21,19,1.105263157894737
E06000060,A1,45,42,1.0714285714285714
E07000008,A1,18,18,1.0
E07000009,A1,6,6,1.0
E07000010,A1,4,4,1.0
E07000011,A1,15,15,1.0
E07000012,A1,14,14,1.0
E07000026,A1,2,2,1.0
E07000027,A1,3,3,1.0
E07000028,A1,1,1,1.0
E07000029,A1,8,8,1.0
E07000031,A1,5,5,1.0
E07000033,A1,3,2,1.5
E07000034,A1,6,6,1.0
E07000035,A1,1,1,1.0
E07000036,A1,11,11,1.0
E07000037,A1,2,2,1.0
E07000038,A1,2,2,1.0
E07000039,A1,5,4,1.25
E07000040,A1,16,15,1.0666666666666667
E07000041,A1,15,10,1.5
E07000042,A1,6,5,1.2
E07000043,A1,26,13,2.0
E07000044,A1,7,7,1.0
E07000045,A1,12,11,1.0909090909090908
E07000046,A1,14,12,1.1666666666666667
E07000047,A1,1,1,1.0
E07000061,A1,2,2,1.0
E07000062,A1,11,10,1.1
E07000063,A1,12,12,1.0
E07000064,A1,27,25,1.08
E07000065,A1,18,16,1.125
E07000066,A1,11,11,1.0
E07000067,A1,11,11,1.0
E07000068,A1,9,7,1.2857142857142858
E07000069,A1,6,4,1.5
E07000070,A1,11,8,1.375
E07000071,A1,14,13,1.0769230769230769
E07000072,A1,13,11,1.1818181818181819
E07000073,A1,11,7,1.5714285714285714
E07000075,A1,10,10,1.0
E07000076,A1,6,3,2.0
E07000077,A1,2,2,1.0
E07000078,A1,15,11,1.3636363636363635
E07000079,A1,3,3,1.0
E07000080,A1,5,5,1.0
E07000081,A1,27,17,1.588235294117647
E07000082,A1,10,9,1.1111111111111112
E07000083,A1,3,3,1.0
E07000084,A1,14,11,1.2727272727272727
E07000085,A1,19,16,1.1875
E07000086,A1,9,6,1.5
E07000087,A1,1,1,1.0
E07000088,A1,10,8,1.25
E07000089,A1,181,174,1.0402298850574712
E07000090,A1,12,10,1.2
E07000091,A1,8,8,1.0
E07000092,A1,10,8,1.25
E07000093,A1,8,7,1.1428571428571428
E07000094,A1,16,13,1.2307692307692308
E07000095,A1,13,11,1.1818181818181819
E07000096,A1,34,30,1.1333333333333333
E07000098,A1,51,38,1.3421052631578947
E07000099,A1,34,31,1.096774193548387
E07000102,A1,45,36,1.25
E07000103,A1,45,37,1.2162162162162162
E07000105,A1,13,12,1.0833333333333333
E07000106,A1,13,12,1.0833333333333333
E07000108,A1,17,14,1.2142857142857142
E07000109,A1,12,11,1.0909090909090908
E07000111,A1,14,12,1.1666666666666667
E07000112,A1,14,13,1.0769230769230769
E07000113,A1,11,11,1.0
E07000114,A1,62,42,1.4761904761904763
